series_id,fund_name,lei,isin,isin_source,figi,share_class_figi,figi_ticker,class_id,class_name,resolution
S000000008,DREYFUS APPRECIATION FUND INC,549300TUIL1OUKJCE043,US2619701079,GLEIF,,,,,,unresolved
S000000008,DREYFUS APPRECIATION FUND INC,549300TUIL1OUKJCE043,US2619702069,GLEIF,,,,,,unresolved
S000000008,DREYFUS APPRECIATION FUND INC,549300TUIL1OUKJCE043,US2619703059,GLEIF,,,,,,unresolved
S000000039,Small Cap Growth Stock Portfolio,YTR2S467AP5XPLF6CQ13,US6681408257,SEC-NPORT,,,,,,unresolved
S000000041,Domestic Equity Portfolio,5493004TKKI7X6F71K84,US6681407911,SEC-NPORT,,,,,,unresolved
S000000047,Select Bond Portfolio,03DZ35VFRGD62UKLL347,US6681407598,SEC-NPORT,,,,,,unresolved
S000000049,Small Cap Value Portfolio,5493006BEZYY47A02J59,US6681408174,SEC-NPORT,,,,,,unresolved
S000000050,Mid Cap Growth Stock Portfolio,LIP0ME8UWTR611J45283,US6681408661,SEC-NPORT,,,,,,unresolved
S000000051,International Growth Portfolio,A7EFFZCFPQNSS1P3HZ68,US6681406848,SEC-NPORT,,,,,,unresolved
S000000051,International Growth Portfolio,A7EFFZCFPQNSS1P3HZ68,US69480V4692,SEC-NPORT,,,,,,unresolved
S000000052,International Equity Portfolio,5493009J2EF7GK480170,US6681406921,SEC-NPORT,,,,,,unresolved
S000000053,Mid Cap Value Portfolio,8TRVIGMWHSWZVXP7PI34,US6681407838,SEC-NPORT,,,,,,unresolved
S000000055,Focused Appreciation Portfolio,5493007QO6Z6UMWHLZ04,US6681407754,SEC-NPORT,,,,,,unresolved
S000000071,DREYFUS RESEARCH GROWTH FUND INC,549300FY88RGTLBBN315,US05588Q1013,GLEIF,BBG000BBW2K0,BBG001S64BL1,DREQX,C000000108,Class Z,figi-ticker-join
S000000071,DREYFUS RESEARCH GROWTH FUND INC,549300FY88RGTLBBN315,US05588Q2003,GLEIF,BBG000DGWNL0,BBG001T3TSL3,DWOAX,C000069523,Class A,figi-ticker-join
S000000071,DREYFUS RESEARCH GROWTH FUND INC,549300FY88RGTLBBN315,US05588Q3092,GLEIF,BBG000DGWPC5,BBG001T3TSP9,DWOCX,C000069524,Class C,figi-ticker-join
S000000071,DREYFUS RESEARCH GROWTH FUND INC,549300FY88RGTLBBN315,US05588Q4082,GLEIF,BBG000DGWPT7,BBG001T3TSR7,DWOIX,C000069525,Class I,figi-ticker-join
S000000071,DREYFUS RESEARCH GROWTH FUND INC,549300FY88RGTLBBN315,US05588Q5071,GLEIF,BBG004P19HM0,BBG004P19HP7,DRYQX,C000127666,Class Y,figi-ticker-join
S000000071,DREYFUS RESEARCH GROWTH FUND INC,549300FY88RGTLBBN315,US05588Q6061,GLEIF,BBG00GX79D31,BBG00GX79D40,DRYTX,,,unresolved
S000000078,DREYFUS MIDCAP INDEX FUND INC,549300YR5HQUSPUKYA70,US05588M1009,GLEIF,BBG00DR3LCJ5,BBG00DR3LCK3,DMIDX,C000172470,Class I,figi-ticker-join
S000000078,DREYFUS MIDCAP INDEX FUND INC,549300YR5HQUSPUKYA70,US05588M2098,GLEIF,BBG000BGKJB5,BBG001S70BG9,PESPX,C000000115,Investor Shares,figi-ticker-join
S000000090,DREYFUS MUNICIPAL BOND OPPORTUNITY FUND,54930076T2E57T3RHK59,US05589A1051,GLEIF,BBG000BBKH57,BBG001S5ZHB7,PTEBX,C000000131,Class A,figi-ticker-join
S000000090,DREYFUS MUNICIPAL BOND OPPORTUNITY FUND,54930076T2E57T3RHK59,US05589A2042,GLEIF,BBG000BQLMY0,BBG001SB4TL1,DMBCX,C000000133,Class C,figi-ticker-join
S000000090,DREYFUS MUNICIPAL BOND OPPORTUNITY FUND,54930076T2E57T3RHK59,US05589A3032,GLEIF,BBG000C28MX8,BBG001SN4B61,DMBZX,C000001400,Class Z,figi-ticker-join
S000000090,DREYFUS MUNICIPAL BOND OPPORTUNITY FUND,54930076T2E57T3RHK59,US05589A4022,GLEIF,BBG00DR3LDH5,BBG00DR3LDJ3,DMBVX,C000173300,Class I,figi-ticker-join
S000000090,DREYFUS MUNICIPAL BOND OPPORTUNITY FUND,54930076T2E57T3RHK59,US05589A5011,GLEIF,BBG00DR3LDY6,BBG00DR3LDZ5,DMBYX,C000173299,Class Y,figi-ticker-join
S000000093,DREYFUS NEW YORK AMT-FREE MUNICIPAL BOND FUND,549300YBPFHVLN151U25,US05588G1031,GLEIF,BBG004P16WN9,BBG004P16X02,DNYYX,C000130310,Class Y,figi-ticker-join
S000000093,DREYFUS NEW YORK AMT-FREE MUNICIPAL BOND FUND,549300YBPFHVLN151U25,US05588G2021,GLEIF,BBG00GX79S10,BBG00GX79S29,DNYTX,,,unresolved
S000000093,DREYFUS NEW YORK AMT-FREE MUNICIPAL BOND FUND,549300YBPFHVLN151U25,US05588G3011,GLEIF,BBG000B9XBT5,BBG001S5NTG9,PSNYX,C000000142,Class A,figi-ticker-join
S000000093,DREYFUS NEW YORK AMT-FREE MUNICIPAL BOND FUND,549300YBPFHVLN151U25,US05588G4001,GLEIF,BBG000BQS5T6,BBG001SB8L25,PNYCX,C000000144,Class C,figi-ticker-join
S000000093,DREYFUS NEW YORK AMT-FREE MUNICIPAL BOND FUND,549300YBPFHVLN151U25,US05588G5099,GLEIF,BBG000DHWBP0,BBG001T42VT5,DNYIX,C000073393,Class I,figi-ticker-join
S000000093,DREYFUS NEW YORK AMT-FREE MUNICIPAL BOND FUND,549300YBPFHVLN151U25,US05588G7079,GLEIF,BBG01J7XYD74,BBG01J9HB6M0,DNYAX,,,unresolved
S000000094,DREYFUS SHORT INTERMEDIATE MUNICIPAL BOND FUND,549300P27EHGFS25G732,US05589J1060,GLEIF,BBG000BC2D90,BBG001S64FT4,DSIBX,C000000147,Class D,figi-ticker-join
S000000094,DREYFUS SHORT INTERMEDIATE MUNICIPAL BOND FUND,549300P27EHGFS25G732,US05589J2050,GLEIF,BBG000BRRDF3,BBG001SBS2T6,DIMIX,C000073380,Class I,figi-ticker-join
S000000094,DREYFUS SHORT INTERMEDIATE MUNICIPAL BOND FUND,549300P27EHGFS25G732,US05589J3041,GLEIF,BBG000SW6WP4,BBG001T58SY7,DMBAX,C000079007,Class A Shares,figi-ticker-join
S000000094,DREYFUS SHORT INTERMEDIATE MUNICIPAL BOND FUND,549300P27EHGFS25G732,US05589J4031,GLEIF,BBG004P19K52,BBG004P19K61,DMYBX,C000130293,Class Y,figi-ticker-join
S000000094,DREYFUS SHORT INTERMEDIATE MUNICIPAL BOND FUND,549300P27EHGFS25G732,US05589J5020,GLEIF,BBG00GX7F6D8,BBG00GX7F6J2,DMBTX,,,unresolved
S000000095,DREYFUS THIRD CENTURY FUND INC,549300QQ876PDFBOND85,US09661D1028,GLEIF,BBG000BTPLP2,BBG001SFDKG7,DTCAX,C000000149,Class A,figi-ticker-join
S000000095,DREYFUS THIRD CENTURY FUND INC,549300QQ876PDFBOND85,US09661D2018,GLEIF,BBG000BTSDS4,BBG001SFGVM3,DTCCX,C000000151,Class C,figi-ticker-join
